Compound,MagpieData mean SpaceGroupNumber,MagpieData minimum GSvolume_pa,avg ionic char,MagpieData range MeltingT,MagpieData avg_dev MendeleevNumber,mean_diff_eta,MagpieData maximum CovalentRadius,avg anion electron affinity,MagpieData minimum AtomicWeight,geom-mean_eta_both,Thermo_Dyn_stability_level
Te-CN-Nd,183.5,5.64,0.09360743309703698,3759.95,24.0,3.35,201.0,-200700.0,12.0107,6.782886609733191,4
Te-CN-Rh,191.25,5.64,0.029150800787294,3759.95,9.0,5.35,142.0,-200700.0,12.0107,7.24254644205403,7
Te-CN-Ru,183.5,5.64,0.031262633887297,3759.95,10.125,4.85,146.0,-200700.0,12.0107,7.13312564296656,7
Te-CN-Sc,183.5,5.64,0.077381251010034,3759.95,27.0,18.75,170.0,-200700.0,12.0107,9.41449401237671,4
Te-CN-Sm,176.5,5.64,0.09136790366340701,3759.95,22.5,3.15,198.0,-200700.0,12.0107,6.733374723356549,4
Te-CN-Y,183.5,5.64,0.08764725178051802,3759.95,26.625,14.75,190.0,-200700.0,12.0107,8.8737601918179,4
Te-F-Al,130.666666666667,9.7075,0.155489926981882,879.97,8.22222222222222,39.1,138.0,-354200.0,18.998403200000002,12.707140465538002,4
Te-F-Bi,59.6666666666667,9.7075,0.13395184260710902,669.16,2.44444444444444,3.2,148.0,-354200.0,18.998403200000002,7.626133487321429,1
Te-F-Ce,120.333333333333,9.7075,0.185640587930323,1017.5,34.0,1.6,204.0,-354200.0,18.998403200000002,7.190935093997151,1
Te-F-Co,120.333333333333,9.7075,0.140743862917129,1714.5,14.8888888888889,2.2,138.0,-354200.0,18.998403200000002,7.36019533192996,4
Te-F-Cr,132.0,9.7075,0.152619064611491,2126.5,18.888888888888896,2.4,139.0,-354200.0,18.998403200000002,7.41491998312529,4
Te-F-Fe,132.0,9.7075,0.143322984864427,1757.5,16.2222222222222,6.4,138.0,-354200.0,18.998403200000002,8.3723961609063,5
Te-F-Ga,77.0,9.7075,0.14437561294591597,669.16,7.77777777777778,10.3,138.0,-354200.0,18.998403200000002,9.132204855810109,4
Te-F-Gd,120.333333333333,9.7075,0.18057527028187498,1532.5,28.6666666666667,5.0,196.0,-354200.0,18.998403200000002,8.06283845703738,4
Te-F-In,102.0,9.7075,0.145976160133108,669.16,7.33333333333333,6.3,142.0,-354200.0,18.998403200000002,8.3510379146538,5
Te-F-Ir,130.666666666667,9.7075,0.126256864288033,2685.5,14.0,1.2,141.0,-354200.0,18.998403200000002,7.073511030290951,4
Te-F-La,120.333333333333,9.7075,0.186908278840425,1139.5,34.8888888888889,8.7,207.0,-354200.0,18.998403200000002,8.836214399796699,4
Te-F-Lu,120.333333333333,9.7075,0.176163099035221,1882.5,22.4444444444444,5.4,187.0,-354200.0,18.998403200000002,8.153694988571429,2
Te-F-Nd,120.333333333333,9.7075,0.184373098246536,1240.5,32.2222222222222,2.5,201.0,-354200.0,18.998403200000002,7.441981974760179,3
Te-F-Rh,130.666666666667,9.7075,0.12324866783000099,2183.5,14.444444444444402,4.5,142.0,-354200.0,18.998403200000002,7.94630710703415,1
Te-F-Ru,120.333333333333,9.7075,0.126256864288033,2553.5,15.7777777777778,4.0,146.0,-354200.0,18.998403200000002,7.82625385222898,5
Te-F-Sc,120.333333333333,9.7075,0.17054270280627404,1760.5,35.77777777777779,17.9,170.0,-354200.0,18.998403200000002,10.329303550653199,4
Te-F-Sm,111.0,9.7075,0.182472991100737,1291.5,30.4444444444444,2.3,198.0,-354200.0,18.998403200000002,7.387659001791331,4
Te-F-Y,120.333333333333,9.7075,0.179312025099645,1745.5,35.3333333333333,13.9,190.0,-354200.0,18.998403200000002,9.73602644353375,4
Te-I-Al,147.0,16.48,0.041618550722622,546.62,8.888888888888891,40.75,139.0,-337800.0,26.9815386,10.2742246777158,2
Te-I-Bi,76.0,32.95,0.019370643760138,335.81,3.55555555555556,4.85,148.0,-337800.0,126.90446999999999,6.166029964293389,0
Te-I-Ce,136.666666666667,34.7633333333,0.081792690969216,684.15,34.6666666666667,3.25,204.0,-337800.0,126.90446999999999,5.8141548839383,3
Te-I-Co,136.666666666667,10.245,0.025392243155678,1381.15,15.555555555555598,3.85,139.0,-337800.0,58.933195,5.95100846781436,1
Te-I-Cr,148.333333333333,11.19,0.038205788040575,1793.15,19.5555555555556,4.05,139.0,-337800.0,51.9961,5.99525550854829,0
Te-I-Fe,148.333333333333,10.73,0.027963962787683,1424.15,16.8888888888889,8.05,139.0,-337800.0,55.845,6.769412794427169,4
Te-I-Ga,93.3333333333333,18.8575,0.029051407800507998,419.75,8.444444444444441,11.95,139.0,-337800.0,69.723,7.38374811752326,0
Te-I-Gd,136.666666666667,32.05,0.074646501631371,1199.15,29.3333333333333,6.65,196.0,-337800.0,126.90446999999999,6.519123171132881,1
Te-I-In,118.333333333333,24.26,0.030743683367366,335.81,8.0,7.95,142.0,-337800.0,114.818,6.75214380922036,2
Te-I-Ir,147.0,14.21,0.014380834179636003,2352.15,14.666666666666698,2.85,141.0,-337800.0,126.90446999999999,5.719212893145031,0
Te-I-La,136.666666666667,34.7633333333,0.08359819731590899,806.15,35.5555555555556,10.35,207.0,-337800.0,126.90446999999999,7.144428149684019,0
Te-I-Lu,136.666666666667,28.865,0.068522370639278,1549.15,23.111111111111104,7.05,187.0,-337800.0,126.90446999999999,6.592584263418,1
Te-I-Nd,136.666666666667,34.7633333333,0.07999398846444501,907.15,32.8888888888889,4.15,201.0,-337800.0,126.90446999999999,6.017136197050741,0
Te-I-Rh,147.0,13.64,0.013214326039712001,1850.15,15.1111111111111,6.15,142.0,-337800.0,102.9055,6.42490297460812,1
Te-I-Ru,136.666666666667,13.51,0.014380834179636003,2220.15,16.4444444444444,5.65,146.0,-337800.0,101.07,6.32783517902465,4
Te-I-Sc,136.666666666667,22.235,0.060882422599803004,1427.15,36.4444444444444,19.55,170.0,-337800.0,44.955912,8.35164966748835,0
Te-I-Sm,127.333333333333,33.23,0.077310393760698,958.15,31.111111111111104,3.95,198.0,-337800.0,126.90446999999999,5.973213929019071,0
Te-I-Y,136.666666666667,32.365,0.072882834407646,1412.15,36.0,15.55,190.0,-337800.0,88.90585,7.8719617069104695,1
Te-NC-Al,191.25,5.64,0.060158049660834996,3759.95,5.5,39.9,138.0,-200700.0,12.0107,11.6541267530637,7
Te-NC-Bi,138.0,5.64,0.03776670273097,3759.95,4.25,4.0,148.0,-200700.0,12.0107,6.99417201990175,7
Te-NC-Ce,183.5,5.64,0.095102219852554,3759.95,25.5,2.4,204.0,-200700.0,12.0107,6.59503759211402,4
Te-NC-Co,183.5,5.64,0.04435460736694599,3759.95,9.375,3.0,138.0,-200700.0,12.0107,6.75027159401023,7
Te-NC-Cr,192.25,5.64,0.056970234340789,3759.95,12.75,3.2,139.0,-200700.0,12.0107,6.800461329716481,4
Te-NC-Fe,192.25,5.64,0.046997174263604,3759.95,10.5,7.2,138.0,-200700.0,12.0107,7.678593492429321,8
Te-NC-Ga,151.0,5.64,0.048093675584141994,3759.95,5.25,11.1,138.0,-200700.0,12.0107,8.37543845629067,7
Te-NC-Gd,183.5,5.64,0.089133288704619,3759.95,21.0,5.8,196.0,-200700.0,12.0107,7.39468817729885,4
Te-NC-In,169.75,5.64,0.049778988040033,3759.95,5.0,7.1,142.0,-200700.0,12.0107,7.6590051586318895,7
Te-NC-Ir,191.25,5.64,0.031262633887297,3759.95,8.75,2.0,141.0,-200700.0,12.0107,6.48734421090027,7
Te-NC-La,183.5,5.64,0.09659775581850301,3759.95,26.25,9.5,207.0,-200700.0,12.0107,8.10397610003258,4
Te-NC-Lu,183.5,5.64,0.08394946979346499,3759.95,15.75,6.2,187.0,-200700.0,12.0107,7.478015621243711,4
Te-NC-Nd,183.5,5.64,0.09360743309703698,3759.95,24.0,3.3,201.0,-200700.0,12.0107,6.82528075164376,4
Te-NCO-Al,155.4,5.64,0.084405995955498,3768.2,5.44,40.55,138.0,-227800.0,12.0107,10.6318727391352,4
Te-NCO-Bi,112.8,5.64,0.063229982278489,3768.2,3.92,4.65,148.0,-227800.0,12.0107,6.38067084791809,1
Te-NCO-Ce,149.2,5.64,0.11367133499690199,3768.2,22.08,3.05,204.0,-227800.0,12.0107,6.01654691723138,4
Te-NCO-Co,149.2,5.64,0.06983936319002701,3768.2,9.04,3.65,138.0,-227800.0,12.0107,6.15816440500354,4
Te-NCO-Cr,156.2,5.64,0.081566492656699,3768.2,11.2,3.85,139.0,-227800.0,12.0107,6.203951695132281,4
Te-NCO-Fe,156.2,5.64,0.07237632961717098,3768.2,9.76,7.85,138.0,-227800.0,12.0107,7.00505756946561,5
Te-NCO-Ga,123.2,5.64,0.07341431413510902,3768.2,5.2,11.75,138.0,-227800.0,12.0107,7.64077804270772,4
Te-NCO-Gd,149.2,5.64,0.10885667849685302,3768.2,18.24,6.45,196.0,-227800.0,12.0107,6.74605530834486,4
Te-NCO-In,138.2,5.64,0.074994679621537,3768.2,5.04,7.75,142.0,-227800.0,12.0107,6.98718744701725,5
Te-NCO-Ir,155.4,5.64,0.055994976052382996,3768.2,8.56,2.65,141.0,-227800.0,12.0107,5.91829997448119,4
Te-NCO-La,149.2,5.64,0.11486835001205499,3768.2,22.72,10.15,207.0,-227800.0,12.0107,7.3931272932045,4
Te-NCO-Lu,149.2,5.64,0.104623607343405,3768.2,13.76,6.85,187.0,-227800.0,12.0107,6.82207359770028,4
Te-NCO-Nd,149.2,5.64,0.11247127679775201,3768.2,20.8,3.95,201.0,-227800.0,12.0107,6.226594055300571,4
Te-NCO-Rh,155.4,5.64,0.05330427148262001,3768.2,8.8,5.95,142.0,-227800.0,12.0107,6.648555285683281,1
Te-NCO-Ru,149.2,5.64,0.055994976052382996,3768.2,9.52,5.45,146.0,-227800.0,12.0107,6.54810853840217,5
Te-NCO-Sc,149.2,5.64,0.09918314788443401,3768.2,23.36,19.35,170.0,-227800.0,12.0107,8.64237246233923,4
Te-NCO-Sm,143.6,5.64,0.110666316967813,3768.2,19.52,3.75,198.0,-227800.0,12.0107,6.18114284328457,4
Te-NCO-Y,149.2,5.64,0.10764831637484301,3768.2,23.04,15.35,190.0,-227800.0,12.0107,8.145986456452,4
Te-NC-Rh,191.25,5.64,0.029150800787294,3759.95,9.0,5.3,142.0,-200700.0,12.0107,7.28781353250159,7
Te-NC-Ru,183.5,5.64,0.031262633887297,3759.95,10.125,4.8,146.0,-200700.0,12.0107,7.177708835665059,8
Te-NCS-Al,167.0,5.64,0.051194337596877006,3759.95,5.6,40.6,138.0,-267133.333333333,12.0107,10.5447223215153,5
Te-NCS-Bi,124.4,5.64,0.03149581461925,3759.95,4.08,4.7,148.0,-267133.333333333,12.0107,6.32836791477216,4
Te-NC-Sc,183.5,5.64,0.077381251010034,3759.95,27.0,18.7,170.0,-200700.0,12.0107,9.47333612756174,4
Te-NCS-Ce,160.8,5.64,0.081698306649099,3759.95,22.16,3.1,204.0,-267133.333333333,12.0107,5.967228740713309,4
Te-NCS-Co,160.8,5.64,0.037307617978945,3759.95,9.2,3.7,138.0,-267133.333333333,12.0107,6.1076853771938495,4
Te-NCS-Cr,167.8,5.64,0.048398321513089995,3759.95,11.36,3.9,139.0,-267133.333333333,12.0107,6.153097344784941,5
Te-NCS-Fe,167.8,5.64,0.03963449474003201,3759.95,9.92,7.9,138.0,-267133.333333333,12.0107,6.94763648217372,4
Te-NCS-Ga,134.8,5.64,0.04059937424489601,3759.95,5.44,11.8,138.0,-267133.333333333,12.0107,7.57814589748728,8
Te-NCS-Gd,160.8,5.64,0.07650615587257599,3759.95,18.32,6.5,196.0,-267133.333333333,12.0107,6.69075728589536,4
Te-NCS-In,149.8,5.64,0.04208170624881101,3759.95,5.28,7.8,142.0,-267133.333333333,12.0107,6.92991284272722,5
Te-NCS-Ir,167.0,5.64,0.025735237778636004,3759.95,8.72,2.7,141.0,-267133.333333333,12.0107,5.869787136994231,7
Te-NCS-La,160.8,5.64,0.082998023070843,3759.95,22.8,10.2,207.0,-267133.333333333,12.0107,7.33252516346418,4
Te-NCS-Lu,160.8,5.64,0.071990820114205,3759.95,13.84,6.9,187.0,-267133.333333333,12.0107,6.76615244649194,4
Te-NC-Sm,176.5,5.64,0.09136790366340701,3759.95,22.5,3.1,198.0,-200700.0,12.0107,6.775459407943409,4
Te-NCS-Nd,160.8,5.64,0.080398760954371,3759.95,20.88,4.0,201.0,-267133.333333333,12.0107,6.17555410348932,3
Te-NCS-Rh,167.0,5.64,0.023855368477972996,3759.95,8.96,6.0,142.0,-267133.333333333,12.0107,6.59405647969369,4
Te-NCS-Ru,160.8,5.64,0.025735237778636004,3759.95,9.68,5.5,146.0,-267133.333333333,12.0107,6.494433103439389,8
Te-NCS-Sc,160.8,5.64,0.066261493686395,3759.95,23.44,19.4,170.0,-267133.333333333,12.0107,8.57153015752619,4
Te-NCS-Sm,155.2,5.64,0.078450852799352,3759.95,19.6,3.8,198.0,-267133.333333333,12.0107,6.13047545914843,4
Te-NCS-Y,160.8,5.64,0.07521233134533001,3759.95,23.12,15.4,190.0,-267133.333333333,12.0107,8.07921307239969,4
Te-NC-Y,183.5,5.64,0.08764725178051802,3759.95,26.625,14.7,190.0,-200700.0,12.0107,8.929222632884288,4
Te-NO-Al,145.75,9.105,0.101542011289136,878.67,5.5,40.3,138.0,-331200.0,14.0067,11.0475954173475,5
Te-NO-Bi,92.5,9.105,0.07660368985187,667.86,2.25,4.4,148.0,-151500.0,14.0067,6.63016495293344,5
Te-NO-Ce,138.0,9.105,0.13464182642487302,1016.2,26.75,2.8,204.0,-331200.0,14.0067,6.25180321303094,4
Te-NO-Co,138.0,9.105,0.084534539105854,1713.2,10.625,3.4,138.0,-151500.0,14.0067,6.39895816374523,4
Te-NO-Cr,146.75,9.105,0.09826481789606901,2125.2,14.0,3.6,139.0,-164400.0,14.0067,6.44653580777938,4
Te-NO-Fe,146.75,9.105,0.08753627534693599,1756.2,11.75,7.6,138.0,-331200.0,14.0067,7.278966161607619,5
Te-NO-Ga,105.5,9.105,0.08875879416651401,667.86,5.25,11.5,138.0,-331200.0,14.0067,7.9395442892079995,4
Te-NO-Gd,138.0,9.105,0.12926212187819802,1531.2,22.25,6.2,196.0,-331200.0,14.0067,7.009836511239651,3
Te-NO-In,124.25,9.105,0.090614344130001,667.86,5.0,7.5,142.0,-151500.0,14.0067,7.26039728971534,4
Te-NO-Ir,145.75,9.105,0.06765243885450299,2684.2,9.875,2.4,141.0,-223133.333333333,14.0067,6.149714662770161,8
Te-NO-La,138.0,9.105,0.135976245865708,1138.2,27.5,9.9,207.0,-331200.0,14.0067,7.68221001212965,3
Te-NO-Lu,138.0,9.105,0.124514460793273,1881.2,17.0,6.6,187.0,-331200.0,14.0067,7.08882723335639,4
Te-NO-Nd,138.0,9.105,0.133302820055767,1239.2,25.25,3.7,201.0,-331200.0,14.0067,6.47006351927205,3
Te-NO-Rh,145.75,9.105,0.064204517738898,2182.2,10.25,5.7,142.0,-331200.0,14.0067,6.90852408679889,4
Te-NO-Ru,138.0,9.105,0.06765243885450299,2552.2,11.375,5.2,146.0,-164400.0,14.0067,6.80414971624557,4
Te-NO-Sc,138.0,9.105,0.118385096473947,1759.2,28.25,19.1,170.0,-331200.0,14.0067,8.98030260073591,4
Te-NO-Sm,131.0,9.105,0.13128654431078401,1290.2,23.75,3.5,198.0,-331200.0,14.0067,6.42283509452496,4
Te-NO-Y,138.0,9.105,0.12790864801242402,1744.2,27.875,15.1,190.0,-331200.0,14.0067,8.464507133800959,4
Te-OCN-Al,155.4,5.64,0.084405995955498,3768.2,5.44,40.2,138.0,-227800.0,12.0107,11.2054395346094,4
Te-OCN-Bi,112.8,5.64,0.063229982278489,3768.2,3.92,4.3,148.0,-227800.0,12.0107,6.72489439357293,4
Te-OCN-Ce,149.2,5.64,0.11367133499690199,3768.2,22.08,2.7,204.0,-227800.0,12.0107,6.34112675559176,4
Te-OCN-Co,149.2,5.64,0.06983936319002701,3768.2,9.04,3.3,138.0,-227800.0,12.0107,6.49038420394637,4
Te-OCN-Cr,156.2,5.64,0.081566492656699,3768.2,11.2,3.5,139.0,-227800.0,12.0107,6.538641620450491,4
Te-OCN-Fe,156.2,5.64,0.07237632961717098,3768.2,9.76,7.5,138.0,-227800.0,12.0107,7.38296544334764,5
Te-OCN-Ga,123.2,5.64,0.07341431413510902,3768.2,5.2,11.4,138.0,-227800.0,12.0107,8.05298167648091,5
Te-OCN-Gd,149.2,5.64,0.10885667849685302,3768.2,18.24,6.1,196.0,-227800.0,12.0107,7.109990564177691,4
Te-OCN-In,138.2,5.64,0.074994679621537,3768.2,5.04,7.4,142.0,-227800.0,12.0107,7.36413126601271,4
Te-OCN-Ir,155.4,5.64,0.055994976052382996,3768.2,8.56,2.3,141.0,-227800.0,12.0107,6.23757960040478,4
Te-OCN-La,149.2,5.64,0.11486835001205499,3768.2,22.72,9.8,207.0,-227800.0,12.0107,7.7919706987023405,4
Te-OCN-Lu,149.2,5.64,0.104623607343405,3768.2,13.76,6.5,187.0,-227800.0,12.0107,7.19010987766055,4
Te-OCN-Nd,149.2,5.64,0.11247127679775201,3768.2,20.8,3.6,201.0,-227800.0,12.0107,6.56250548752376,4
Te-OCN-Rh,155.4,5.64,0.05330427148262001,3768.2,8.8,5.6,142.0,-227800.0,12.0107,7.00723062382062,4
Te-OCN-Ru,149.2,5.64,0.055994976052382996,3768.2,9.52,5.1,146.0,-227800.0,12.0107,6.9013649893530795,5
Te-OCN-Sc,149.2,5.64,0.09918314788443401,3768.2,23.36,19.0,170.0,-227800.0,12.0107,9.10860997290237,4
Te-OCN-Sm,143.6,5.64,0.110666316967813,3768.2,19.52,3.4,198.0,-227800.0,12.0107,6.5146022798277805,4
Te-OCN-Y,149.2,5.64,0.10764831637484301,3768.2,23.04,15.0,190.0,-227800.0,12.0107,8.5854450036377,4
Te-SCN-Al,167.0,5.64,0.051194337596877006,3759.95,5.6,40.7,138.0,-267133.333333333,12.0107,10.3659636807632,5
Te-SCN-Bi,124.4,5.64,0.03149581461925,3759.95,4.08,4.8,148.0,-267133.333333333,12.0107,6.221086716450241,8
Te-SCN-Ce,160.8,5.64,0.081698306649099,3759.95,22.16,3.2,204.0,-267133.333333333,12.0107,5.86606972806008,5
Te-SCN-Co,160.8,5.64,0.037307617978945,3759.95,9.2,3.8,138.0,-267133.333333333,12.0107,6.0041452835925995,4
Te-SCN-Cr,167.8,5.64,0.048398321513089995,3759.95,11.36,4.0,139.0,-267133.333333333,12.0107,6.04878740809509,5
Te-SCN-Fe,167.8,5.64,0.03963449474003201,3759.95,9.92,8.0,138.0,-267133.333333333,12.0107,6.82985717835467,7
Te-SCN-Ga,134.8,5.64,0.04059937424489601,3759.95,5.44,11.9,138.0,-267133.333333333,12.0107,7.44967792851173,8
Te-SCN-Gd,160.8,5.64,0.07650615587257599,3759.95,18.32,6.6,196.0,-267133.333333333,12.0107,6.5773327080296395,4
Te-SCN-In,149.8,5.64,0.04208170624881101,3759.95,5.28,7.9,142.0,-267133.333333333,12.0107,6.81243399762107,4
Te-SCN-Ir,167.0,5.64,0.025735237778636004,3759.95,8.72,2.8,141.0,-267133.333333333,12.0107,5.77027999606435,4
Te-SCN-La,160.8,5.64,0.082998023070843,3759.95,22.8,10.3,207.0,-267133.333333333,12.0107,7.20822106217673,4
Te-SCN-Lu,160.8,5.64,0.071990820114205,3759.95,13.84,7.0,187.0,-267133.333333333,12.0107,6.6514497376317205,4
Te-SCN-Nd,160.8,5.64,0.080398760954371,3759.95,20.88,4.1,201.0,-267133.333333333,12.0107,6.07086347022545,5
Te-SCN-Rh,167.0,5.64,0.023855368477972996,3759.95,8.96,6.1,142.0,-267133.333333333,12.0107,6.4822712152351105,4
Te-SCN-Ru,160.8,5.64,0.025735237778636004,3759.95,9.68,5.6,146.0,-267133.333333333,12.0107,6.38433669704491,7
Te-SCN-Sc,160.8,5.64,0.066261493686395,3759.95,23.44,19.5,170.0,-267133.333333333,12.0107,8.426221913894299,4
Te-SCN-Sm,155.2,5.64,0.078450852799352,3759.95,19.6,3.9,198.0,-267133.333333333,12.0107,6.02654901833493,4
Te-SCN-Y,160.8,5.64,0.07521233134533001,3759.95,23.12,15.5,190.0,-267133.333333333,12.0107,7.942250798464579,4
Te-SH-Al,160.25,6.615,0.027821087528317003,919.46,6.375,40.55,138.0,-390200.0,1.00794,10.6318727391352,5
Te-SH-Bi,107.0,6.615,0.011187315607781,708.65,2.0,4.65,148.0,-390200.0,1.00794,6.38067084791809,4
Te-SH-Ce,152.5,6.615,0.06083803544361901,1056.99,28.125,3.05,204.0,-390200.0,1.00794,6.01654691723138,4
Te-SH-Co,152.5,6.615,0.015407615201985999,1753.99,12.0,3.65,138.0,-390200.0,1.00794,6.15816440500354,4
Te-SH-Cr,161.25,6.615,0.025136925479775002,2165.99,15.375,3.85,139.0,-390200.0,1.00794,6.203951695132281,5
Te-SH-Fe,161.25,6.615,0.017301023915404,1796.99,13.125,7.85,138.0,-390200.0,1.00794,7.00505756946561,4
Te-SH-Ga,120.0,6.615,0.018112819554262,708.65,6.0,11.75,138.0,-390200.0,1.00794,7.64077804270772,5
Te-SH-Gd,152.5,6.615,0.054827308483307996,1571.99,23.625,6.45,196.0,-390200.0,1.00794,6.74605530834486,1
Te-SH-In,138.75,6.615,0.019387412686123002,708.65,5.625,7.75,142.0,-390200.0,1.00794,6.98718744701725,5
Te-SH-Ir,160.25,6.615,0.008242412733351,2724.99,11.25,2.65,141.0,-390200.0,1.00794,5.91829997448119,4
Te-SH-La,152.5,6.615,0.062363758512912,1178.99,28.875,10.15,207.0,-390200.0,1.00794,7.3931272932045,4
Te-SH-Lu,152.5,6.615,0.049714883064491,1921.99,18.375,6.85,187.0,-390200.0,1.00794,6.82207359770028,4
Te-SH-Nd,152.5,6.615,0.059320832716440994,1279.99,26.625,3.95,201.0,-390200.0,1.00794,6.226594055300571,3
Te-SH-Rh,160.25,6.615,0.007865020455711,2222.99,11.625,5.95,142.0,-390200.0,1.00794,6.648555285683281,4
Te-SH-Ru,152.5,6.615,0.008242412733351,2592.99,12.75,5.45,146.0,-390200.0,1.00794,6.54810853840217,4
Te-SH-Sc,152.5,6.615,0.043393763695144,1799.99,29.625,19.35,170.0,-390200.0,1.00794,8.64237246233923,4
Te-SH-Sm,145.5,6.615,0.057062525334465,1330.99,25.125,3.75,198.0,-390200.0,1.00794,6.18114284328457,3
Te-SH-Y,152.5,6.615,0.053351158966358,1784.99,29.25,15.35,190.0,-390200.0,1.00794,8.145986456452,4
Cl-Br-Ba,119.0,24.4975,0.154622417153724,828.4,38.0,8.35,215.0,-336800.0,35.453,6.321969156197599,1
Cl-Br-Be,107.333333333333,7.89,0.095724596897479,1388.4,12.2222222222222,63.35,120.0,-336800.0,9.012182000000001,11.020271160638302,5
Cl-Br-Ca,117.666666666667,24.4975,0.146191570106151,943.4,38.8888888888889,15.25,176.0,-336800.0,35.453,7.29913043999068,0
Cl-Br-Cd,107.333333333333,19.495,0.08435236349636901,422.62,10.8888888888889,5.85,144.0,-336800.0,35.453,5.88023646603292,1
Cl-Br-Co,107.333333333333,10.245,0.066551899975352,1596.4,16.2222222222222,3.75,126.0,-336800.0,35.453,5.44988075939211,1
Cl-Br-Cu,117.666666666667,11.07,0.064716117973867,1186.17,13.555555555555598,3.85,132.0,-336800.0,35.453,5.471945294586639,1
Cl-Br-Fe,119.0,10.73,0.071181456943277,1639.4,17.5555555555556,2.85,132.0,-336800.0,35.453,5.24272006865319,4
Cl-Br-Mg,107.333333333333,22.89,0.11984802649375399,751.4,11.7777777777778,28.05,141.0,-336800.0,24.305,8.62469018000736,1
Cl-Br-Mn,115.0,10.487586206900001,0.09761495056455599,1347.4,18.888888888888896,4.85,139.0,-336800.0,35.453,5.683423678175191,4
Cl-Br-Ni,117.666666666667,10.32,0.06380208679090299,1556.4,14.8888888888889,4.05,124.0,-336800.0,35.453,5.51554829065634,2
Cl-Br-Pb,117.666666666667,24.4975,0.029180164249572996,429.01,6.0,4.05,146.0,-336800.0,35.453,5.51554829065634,1
Cl-Br-Pd,117.666666666667,14.41,0.038910316823613,1656.45,14.444444444444402,2.35,139.0,-336800.0,35.453,5.1201814714325,2
Cl-Br-Pt,117.666666666667,15.02,0.032792360920536,1869.8,14.0,3.55,136.0,-336800.0,35.453,5.40520759636494,5
Cl-Br-Sr,117.666666666667,24.4975,0.15009028677799302,878.4,38.4444444444444,11.85,195.0,-336800.0,35.453,6.85243488838802,1
Cl-Br-Zn,107.333333333333,13.96,0.08814391279158301,521.08,11.333333333333302,6.35,122.0,-336800.0,35.453,5.973886512509611,1
CN-Br-Ba,170.25,5.64,0.12133965867341401,3759.95,28.375,8.05,215.0,-172800.0,12.0107,6.580290142199759,4
CN-Br-Be,161.5,5.64,0.069683198155528,3759.95,8.25,63.05,120.0,-172800.0,9.012182000000001,11.4705687248769,5
CN-Br-Ca,169.25,5.64,0.11353063112462401,3759.95,29.125,14.95,176.0,-172800.0,12.0107,7.59737905931024,4
CN-Br-Cd,161.5,5.64,0.060475700967421,3759.95,7.5,5.55,144.0,-172800.0,12.0107,6.12050788215369,4
CN-Br-Co,161.5,5.64,0.046610261546575,3759.95,10.5,3.45,126.0,-172800.0,12.0107,5.672567478763441,7
CN-Br-Cu,169.25,5.64,0.04522165463391901,3759.95,9.0,3.55,132.0,-172800.0,12.0107,5.695533589455461,7
CN-Br-Fe,170.25,5.64,0.050147981117361996,3759.95,11.25,2.55,132.0,-172800.0,12.0107,5.456942027667361,8
CN-Br-Mg,161.5,5.64,0.09004041806792099,3759.95,8.0,27.75,141.0,-172800.0,12.0107,8.97710228709246,4
CN-Br-Mn,167.25,5.64,0.071238465873261,3759.95,12.25,4.55,139.0,-172800.0,12.0107,5.91565315796868,4
CN-Br-Ni,169.25,5.64,0.044533371877015,3759.95,9.75,3.75,124.0,-172800.0,12.0107,5.740918240680231,7
CN-Br-Pb,169.25,5.64,0.020369204101991,3759.95,5.625,3.75,146.0,-172800.0,12.0107,5.740918240680231,4
CN-Br-Pd,169.25,5.64,0.026709291359554004,3759.95,9.5,2.05,139.0,-172800.0,12.0107,5.329396400125059,6
CN-Br-Pt,169.25,5.64,0.022668681496774,3759.95,9.25,3.25,136.0,-172800.0,12.0107,5.62606893265769,8
CN-Br-Sr,169.25,5.64,0.117123329959056,3759.95,28.75,11.55,195.0,-172800.0,12.0107,7.13243115112661,3
CN-Br-Zn,161.5,5.64,0.06351671178027599,3759.95,7.75,6.05,122.0,-172800.0,12.0107,6.21798454842991,4
CN-Cl-Ba,170.25,5.64,0.128620825054059,3759.95,28.25,7.8,215.0,-185000.0,12.0107,6.83168603295496,4
CN-Cl-Be,161.5,5.64,0.078125067026705,3759.95,8.0,62.8,102.0,-185000.0,9.012182000000001,11.908794666247802,4
CN-Cl-Ca,169.25,5.64,0.12108834231659402,3759.95,29.0,14.7,176.0,-185000.0,12.0107,7.88763219933085,3
CN-Cl-Cd,161.5,5.64,0.068926606762454,3759.95,7.25,5.3,144.0,-185000.0,12.0107,6.35433807773135,4
CN-Cl-Co,161.5,5.64,0.05491160125111099,3759.95,10.25,3.2,126.0,-185000.0,12.0107,5.8892843899292995,7
CN-Cl-Cu,169.25,5.64,0.053494934331598,3759.95,8.75,3.3,132.0,-185000.0,12.0107,5.913127906591249,7
CN-Cl-Fe,170.25,5.64,0.05850903631238201,3759.95,11.0,2.3,132.0,-185000.0,12.0107,5.66542110263203,5
CN-Cl-Mg,161.5,5.64,0.09822497300608099,3759.95,7.75,27.5,141.0,-185000.0,12.0107,9.32006689459375,4
CN-Cl-Mn,167.25,5.64,0.079671580539161,3759.95,12.125,4.3,139.0,-185000.0,12.0107,6.14165700626544,4
