Compound,mean EN difference,geom-mean_eta_both,MagpieData mean Electronegativity,max ionic char,MagpieData avg_dev MendeleevNumber,MagpieData minimum Electronegativity,MagpieData range MeltingT,MagpieData mean Row,MagpieData avg_dev NpValence,MagpieData mean GSbandgap,std_dev EN difference,Formation_energy
SH-NCS-Ba,0.853333333333333,5.94316707315725,2.30666666666667,0.685139312535294,21.2222222222222,0.89,3808.99,2.83333333333333,1.5,3.865,0.875042856093346,-0.6867201523
SH-NCS-Be,0.626666666666666,10.3599544826889,2.42,0.417382851233086,7,1.57,3808.99,2.16666666666667,1.5,3.865,0.496621921921831,-0.0375184023
SH-NCS-Ca,0.816666666666666,6.86177844621495,2.325,0.646686671641399,21.7777777777778,1,3808.99,2.5,1.5,3.865,0.812916559883813,-0.674442714
SH-NCS-Cd,0.586666666666666,5.52790228548421,2.44,0.365948438141932,6.5,1.69,3808.99,2.66666666666667,1.5,3.865,0.432473505932252,-0.0214799723
SH-NCS-Co,0.523333333333333,5.12333279103395,2.47166666666667,0.285662686264043,8.88888888888889,1.88,3808.99,2.5,1.5,3.865,0.335111921602321,0.0735238477
SH-NCS-Cu,0.516666666666666,5.14407525525874,2.475,0.277400390009806,7.55555555555556,1.9,3808.99,2.5,1.5,3.865,0.325320354932386,0.2111579443
SH-NCS-Fe,0.54,4.92858483108147,2.46333333333333,0.306514536143557,9.55555555555556,1.83,3808.99,2.5,1.5,3.865,0.360046293319808,0.064991281
SH-NCS-Mg,0.713333333333333,8.10791280810866,2.37666666666667,0.526794252062466,6.83333333333333,1.31,3808.99,2.33333333333333,1.5,3.865,0.639296488336984,-0.408079304
SH-NCS-Mn,0.633333333333333,5.34288219894588,2.41666666666667,0.425942090430698,10.2222222222222,1.55,3808.99,2.5,1.5,3.865,0.507444578254611,-0.1284764173
SH-NCS-Ni,0.513333333333333,5.18506563090434,2.47666666666667,0.273287979294598,8.22222222222222,1.91,3808.99,2.5,1.5,3.865,0.320468407179241,0.0230121493
SH-NCS-Pb,0.373333333333333,5.18506563090434,2.54666666666667,0.161717396775766,4.66666666666667,2.2,3808.99,2.83333333333333,1.16666666666667,3.865,0.176918060129541,0.0035016777
SH-NCS-Pd,0.416666666666666,4.813388546791,2.525,0.161717396775766,8,2.2,3808.99,2.66666666666667,1.5,3.865,0.202072594216369,0.237044166
SH-NCS-Pt,0.39,5.08133637108992,2.53833333333333,0.161717396775766,7.77777777777778,2.2,3808.99,2.83333333333333,1.5,3.865,0.183393929379719,0.3359653993
SH-NC-Sr,0.91,7.11959146332426,2.264,0.664463655809218,24.56,0.95,3808.99,2.6,1.44,4.1976,0.841130192063036,-0.6261243614
SH-NCS-Sr,0.833333333333333,6.4418481636687,2.31666666666667,0.664463655809218,21.5,0.95,3808.99,2.66666666666667,1.5,3.865,0.841130192063036,-0.692958414
SH-NCS-Zn,0.6,5.6159409738847,2.43333333333333,0.383085599679248,6.66666666666667,1.65,3808.99,2.5,1.5,3.865,0.453688586293873,-0.012473824
